id,name,brewery_type,address_1,address_2,address_3,city,state_province,postal_code,country,phone,website_url,longitude,latitude
,Ravens Brewing Company,micro,2485 Townline Rd.,,,Abbotsford,British Columbia,V2T 6L6,Canada,12364834028,http://www.ravens.beer/,49.0474816,-122.3605183
,Dead Frog Brewery,micro,27272 Gloucester Way,,,Aldergrove,British Columbia,V4W 4A1,Canada,16048561055,http://www.deadfrogbrewery.com/,49.098017,-122.469246
,Dageraad Brewing,micro,"#114, 3191 Thunderbird Crescent",,,Burnaby,British Columbia,V5A 3G1,Canada,16044202050,http://dageraadbrewing.com/,49.2560299,-122.9217409
,Pacific Western Brewery - Burnaby,regional,3876 Norland Avenue,,,Burnaby,British Columbia,V5G 4T9,Canada,16044212119,http://www.pwbrewing.net/,49.249219,-122.974695
,Pacific Western Brewery - Prince George,regional,641 N Nechako Rd.,,,Prince George,British Columbia,V2K 4M4,Canada,12505622424,http://www.pwbrewing.net/,53.9292889,-122.7837232
,Riot Brewing Company,micro,101A - 3055 Oak Street,,,Chemainus,British Columbia,V0R 1K0,Canada,12503247468,,48.925656,-123.727044
,Old Yale Brewing Company,regional,33738 Laurel Street,,,Abbotsford,British Columbia,V2S 1X2,Canada,16043922011,http://www.oldyalebrewing.com/,49.0464884,-122.293923
,Old Yale Brewing Company,brewpub,7965 Venture Place,,,Chilliwack,British Columbia,V2R 0K2,Canada,16043922011,http://www.oldyalebrewing.com/,53.1708915,-123.0680967
,Gladstone Brewing Company,micro,244 4th Street,,,Courtenay,British Columbia,V9N 1G6,Canada,12508711111,http://www.gladstonebrewing.ca/,49.691771,-124.998183
,Fisher Peak Brewing Company,brewpub,821 Baker St,,,Cranbrook,British Columbia,V1C 1A2,Canada,12504267922,https://www.theheidout.ca/beer,49.5118642,-115.7691146
,Cumberland Brewing Company,brewpub,2732 Dunsmuir Ave.,,,Cumberland,British Columbia,V0R 1S0,Canada,12504002739,http://cumberlandbrewing.com/,49.619196,-125.0280196
,Four Winds Brewing - Beach House,brewpub,6350 Market Avenue,,,Delta,British Columbia,V4L 0B1,Canada,16049402985,http://www.fourwindsbrewing.ca/,49.007116,-123.0500361
,Four Winds Brewing - Taproom,brewpub,4-7355 72nd Street,,,Delta,British Columbia,V4G 1L5,Canada,16049409949,http://www.fourwindsbrewing.ca/,49.1362356,-123.0295949
,Craig Street Brewing Co.,brewpub,25 Craig Street,,,Duncan,British Columbia,V9L 1V7,Canada,12507372337,https://csbrewery.ca/craig-street-brewpub/,48.77724,-123.708545
,Red Arrow Brewing Company,brewpub,5255 Chaster Rd.,,,Duncan,British Columbia,V9L 5J2,Canada,12505970037,http://redarrowbeer.ca/,48.7627723,-123.6903082
,Small Block Brewing Co,micro,203-5301 Chaster Rd,,,Duncan,British Columbia,V9L 5Z3,Canada,12505970045,http://www.smallblockbrewery.com,48.7644374,-123.6925411
,Fernie Brewing Co,micro,26 Manitou Rd.,,,Fernie,British Columbia,V0B 1M5,Canada,12504237797,http://www.ferniebrewing.com/,49.526552,-115.047455
,Beard's Brewing Co.,micro,10408 Alaska Rd,,,Fort St. John,British Columbia,V1J 3X2,Canada,12502624104,https://www.beardsbrewing.ca,56.2396479,-120.8531309
,Persephone Brewing Company,micro,1053 Stewart Rd.,,,Gibsons,British Columbia,V0N 1V7,Canada,17784623007,http://www.persephonebrewing.com/,49.420731,-123.5080862
,Middle Mountain Mead Brewery,meadery,3505 Euston Road,,,Hornby Island,British Columbia,V0R 1Z0,Canada,12503351397,http://middlemountainmead.com/,49.5006853,-124.6638153
,Red Collar Brewery,micro,355 Lansdowne St.,,,Kamloops,British Columbia,V2C 1X9,Canada,17784710174,http://redcollar.ca,50.6765548,-120.3326669
,The Noble Pig Brewery,brewpub,650 Victoria Street,,,Kamloops,British Columbia,V2C 2B4,Canada,17784715999,http://www.thenoblepig.ca/,50.675888,-120.325666
,BC Tree Fruits Cider Co. Brewery,cidery,880 Vaughan Ave,,,Kelowna,British Columbia,V1Y 7E4,Canada,,,49.8942,-119.484
,Boundary Brewing Co.,micro,2 - 455 Neave Ct.,,,Kelowna,British Columbia,V1V2M2,Canada,,,49.9251366,-119.391574
,Granville Island Brewing,brewpub,1125 Richter Street,,,Kelowna,British Columbia,V1Y 2K6,Canada,16046872739,http://gib.ca/,49.8948111,-119.4883551
,Kettle River Brewing Co.,brewpub,731 Baillie Avenue,,,Kelowna,British Columbia,V1Y 7E9,Canada,12508625115,https://www.kettleriverbrewing.ca/,49.8962537,-119.4873254
,Freddy's Brewpub,brewpub,124-948 McCurdy Rd,,,Kelowna,British Columbia,V1X2P7,Canada,12507658956,https://www.mccurdybowl.com/,49.9029574,-119.4054164
,Tree Brewing,micro,1083 Richter Street,,,Kelowna,British Columbia,V1Y 2K6,Canada,16047088311,http://www.treebeer.com,49.895775,-119.488474
,Trading Post Brewing - Langley,brewpub,#107-20120 64th Ave.,,,Langley,British Columbia,V2Y 1M8,Canada,16043432337,http://tradingpostbrewing.com/,49.1184973,-122.6676943
,Trading Post Brewing - Fort Langley,brewpub,9143 Glover Road,,,Fort Langley,British Columbia,V1M 2R3,Canada,16043432337,http://tradingpostbrewing.com/,49.1685027,-122.5825608
,Trading Post Brewing - Abbotsford,brewpub,3058 Gladwin Road,,,Abbotsford,British Columbia,V2T 0H5,Canada,16043432337,http://tradingpostbrewing.com/,49.0573177,-122.3178642
,Left Field Cider Co. Brewery,cidery,5977 BC-97C,,,Logan Lake,British Columbia,V0K 1W0,Canada,12504486991,http://www.leftfieldcider.com,50.4911515,-120.8152537
,Maple Meadows Brewing Co.,micro,22775 Dewdney Trunk Rd,,,Maple Ridge,British Columbia,V2X 3K4,Canada,16044790999,https://www.maplemeadowsbrewingco.com/,49.2207393,-122.5911414
,Mission Springs Brewing Company,brewpub,7160 Oliver Street,,,Mission,British Columbia,V2V 6K5,Canada,16048201009,https://springsgroup.ca/missionsprings/,49.1322642,-122.3426946
,Longwood Brewpub,brewpub,5775 Turner Road,,,Nanaimo,British Columbia,V9T 6L8,Canada,12507298225,http://www.longwoodbrewpub.com/,49.225503,-124.035479
,White Sails Brewing,brewpub,125 Comox Rd,,,Nanaimo,British Columbia,V9R 3H9,Canada,12507542337,https://whitesailsbrewing.com/,49.1673,-123.9363
,Wolf Brewing Company,brewpub,940 Old Victoria Road,,,Nanaimo,British Columbia,V9R 6Z8,Canada,12507162739,http://www.wolfbrewingcompany.com,49.1644,-123.9363
,The Naramata Cider Company Brewery,cidery,225 Robinson Avenue,,,Naramata,British Columbia,V0H 1N0,Canada,12504965522,http://www.naramatacider.com/,49.5977002,-119.6010588
,Nelson Brewing Company,micro,512 Latimer Street,,,Nelson,British Columbia,V1L 4H7,Canada,12503523582,http://nelsonbrewing.com/,49.4883757,-117.2900382
,Torchlight Brewing Co.,brewpub,125 Hall St,,,Nelson,British Columbia,V1L 4E9,Canada,12503520094,http://www.torchlightbrewing.com/,49.4925,-117.2944
,Steel & Oak Brewing Co.,micro,1319 Third Avenue,,,New Westminster,British Columbia,V3M1R2,Canada,16045406495,http://steelandoak.ca/,49.2021832,-122.9272102
,Bridge Brewing Company - Charlotte,micro,1448 Charlotte Road,,,North Vancouver,British Columbia,V7J 1H2,Canada,16047702739,http://bridgebrewing.com/,49.3191383,-123.1107589
,Bridge Brewing Company - Lonsdale,brewpub,1211 Lonsdale Ave,,,North Vancouver,British Columbia,V7J 1H2,Canada,16049901218,http://bridgebrewing.com/,49.3097411,-123.0339211
